"GEO_ID","NAME","POPGROUP","POPGROUP_LABEL","B08303_001E","B08303_001M","B08303_001MA","B08303_001EA","B08303_002E","B08303_002M","B08303_002MA","B08303_002EA","B08303_003E","B08303_003M","B08303_003MA","B08303_003EA","B08303_004E","B08303_004M","B08303_004MA","B08303_004EA","B08303_005E","B08303_005M","B08303_005MA","B08303_005EA","B08303_006E","B08303_006EA","B08303_006M","B08303_006MA","B08303_007E","B08303_007M","B08303_007MA","B08303_007EA","B08303_008E","B08303_008M","B08303_008MA","B08303_008EA","B08303_009E","B08303_009M","B08303_009MA","B08303_009EA","B08303_010E","B08303_010M","B08303_010MA","B08303_010EA","B08303_011E","B08303_011M","B08303_011MA","B08303_011EA","B08303_012E","B08303_012M","B08303_012MA","B08303_012EA","B08303_013E","B08303_013M","B08303_013MA","B08303_013EA",
"Geography","Geographic Area Name","Race/Ethnic Group","Population Groups","Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Annotation of Estimate!!Total:","Estimate!!Total:!!Less than 5 minutes","Margin of Error!!Total:!!Less than 5 minutes","Annotation of Margin of Error!!Total:!!Less than 5 minutes","Annotation of Estimate!!Total:!!Less than 5 minutes","Estimate!!Total:!!5 to 9 minutes","Margin of Error!!Total:!!5 to 9 minutes","Annotation of Margin of Error!!Total:!!5 to 9 minutes","Annotation of Estimate!!Total:!!5 to 9 minutes","Estimate!!Total:!!10 to 14 minutes","Margin of Error!!Total:!!10 to 14 minutes","Annotation of Margin of Error!!Total:!!10 to 14 minutes","Annotation of Estimate!!Total:!!10 to 14 minutes","Estimate!!Total:!!15 to 19 minutes","Margin of Error!!Total:!!15 to 19 minutes","Annotation of Margin of Error!!Total:!!15 to 19 minutes","Annotation of Estimate!!Total:!!15 to 19 minutes","Estimate!!Total:!!20 to 24 minutes","Annotation of Estimate!!Total:!!20 to 24 minutes","Margin of Error!!Total:!!20 to 24 minutes","Annotation of Margin of Error!!Total:!!20 to 24 minutes","Estimate!!Total:!!25 to 29 minutes","Margin of Error!!Total:!!25 to 29 minutes","Annotation of Margin of Error!!Total:!!25 to 29 minutes","Annotation of Estimate!!Total:!!25 to 29 minutes","Estimate!!Total:!!30 to 34 minutes","Margin of Error!!Total:!!30 to 34 minutes","Annotation of Margin of Error!!Total:!!30 to 34 minutes","Annotation of Estimate!!Total:!!30 to 34 minutes","Estimate!!Total:!!35 to 39 minutes","Margin of Error!!Total:!!35 to 39 minutes","Annotation of Margin of Error!!Total:!!35 to 39 minutes","Annotation of Estimate!!Total:!!35 to 39 minutes","Estimate!!Total:!!40 to 44 minutes","Margin of Error!!Total:!!40 to 44 minutes","Annotation of Margin of Error!!Total:!!40 to 44 minutes","Annotation of Estimate!!Total:!!40 to 44 minutes","Estimate!!Total:!!45 to 59 minutes","Margin of Error!!Total:!!45 to 59 minutes","Annotation of Margin of Error!!Total:!!45 to 59 minutes","Annotation of Estimate!!Total:!!45 to 59 minutes","Estimate!!Total:!!60 to 89 minutes","Margin of Error!!Total:!!60 to 89 minutes","Annotation of Margin of Error!!Total:!!60 to 89 minutes","Annotation of Estimate!!Total:!!60 to 89 minutes","Estimate!!Total:!!90 or more minutes","Margin of Error!!Total:!!90 or more minutes","Annotation of Margin of Error!!Total:!!90 or more minutes","Annotation of Estimate!!Total:!!90 or more minutes",
"0500000US51740","Portsmouth city, Virginia","001","Total population","42730","1063","null","null","952","231","null","null","3872","531","null","null","6548","673","null","null","7911","884","null","null","6240","null","661","null","2943","426","null","null","8228","646","null","null","979","226","null","null","958","245","null","null","2554","396","null","null","1102","322","null","null","443","153","null","null",
"0500000US51750","Radford city, Virginia","001","Total population","7307","597","null","null","376","154","null","null","1705","370","null","null","1166","301","null","null","1306","317","null","null","992","null","247","null","533","187","null","null","557","177","null","null","35","39","null","null","85","77","null","null","436","186","null","null","40","46","null","null","76","81","null","null",
"0500000US51760","Richmond city, Virginia","001","Total population","104286","1518","null","null","2045","369","null","null","9861","795","null","null","16635","1001","null","null","22359","1111","null","null","20527","null","1334","null","7910","726","null","null","13393","1026","null","null","2119","397","null","null","2014","398","null","null","2980","453","null","null","2850","391","null","null","1593","308","null","null",
"0500000US51770","Roanoke city, Virginia","001","Total population","43579","1054","null","null","616","221","null","null","5022","563","null","null","6781","740","null","null","9935","750","null","null","6826","null","683","null","1678","340","null","null","9223","1020","null","null","392","154","null","null","259","188","null","null","1336","289","null","null","1139","289","null","null","372","144","null","null",
"0500000US51775","Salem city, Virginia","001","Total population","11682","505","null","null","391","151","null","null","2033","330","null","null","1702","273","null","null","2348","406","null","null","2154","null","397","null","677","158","null","null","1471","335","null","null","80","66","null","null","311","135","null","null","189","97","null","null","152","115","null","null","174","98","null","null",
"0500000US51790","Staunton city, Virginia","001","Total population","11291","523","null","null","624","223","null","null","1651","288","null","null","1959","346","null","null","1892","328","null","null","1295","null","250","null","589","165","null","null","1313","264","null","null","341","113","null","null","353","138","null","null","780","215","null","null","264","118","null","null","230","109","null","null",
"0500000US51800","Suffolk city, Virginia","001","Total population","41712","871","null","null","747","204","null","null","2787","435","null","null","3750","500","null","null","4632","472","null","null","6362","null","575","null","3404","385","null","null","6203","617","null","null","2217","346","null","null","2486","332","null","null","5579","496","null","null","2786","354","null","null","759","232","null","null",
"0500000US51810","Virginia Beach city, Virginia","001","Total population","223458","2311","null","null","5117","724","null","null","17525","1349","null","null","28616","1531","null","null","40330","1580","null","null","41568","null","1563","null","20711","1160","null","null","36032","1494","null","null","6389","540","null","null","6823","556","null","null","11782","1008","null","null","5491","595","null","null","3074","407","null","null",
"0500000US51820","Waynesboro city, Virginia","001","Total population","10044","596","null","null","422","171","null","null","1278","357","null","null","1436","301","null","null","1760","456","null","null","1302","null","296","null","813","212","null","null","1103","345","null","null","632","298","null","null","413","194","null","null","599","244","null","null","162","105","null","null","124","83","null","null",
"0500000US51830","Williamsburg city, Virginia","001","Total population","5760","312","null","null","290","129","null","null","1113","198","null","null","1192","240","null","null","1183","270","null","null","584","null","163","null","165","84","null","null","480","174","null","null","231","128","null","null","84","50","null","null","124","67","null","null","259","110","null","null","55","68","null","null",
"0500000US51840","Winchester city, Virginia","001","Total population","13230","507","null","null","724","221","null","null","2647","429","null","null","2741","413","null","null","2386","448","null","null","914","null","236","null","446","217","null","null","943","349","null","null","92","55","null","null","295","156","null","null","492","153","null","null","837","257","null","null","713","282","null","null",
